,Cluster Index,Voxels,MAX,MAX X (mm),MAX Y (mm),MAX Z (mm),COG X (mm),COG Y (mm),COG Z (mm),zstat,stat_type
297,15,1299,5.12,24,-14,70,14.5,7.3,58,23,activation
298,2,81,4.59,-38,-4,52,-40.1,-7.06,54.9,23,activation
299,2,92,4.4,28,-66,50,32.4,-63.3,45.7,23,deactivation
300,3,135,5.55,12,-96,14,17.3,-97.1,15.7,23,activation
301,3,119,4.21,30,-82,-26,25.8,-80.4,-25.1,23,deactivation
302,4,147,4.53,22,-80,42,25.2,-80.7,37.9,23,activation
303,4,136,4.7,8,14,-6,14.2,13.8,-5.94,23,deactivation
304,5,167,4.29,-56,-20,22,-60,-26.5,25.8,23,activation
305,5,155,4.34,-58,-46,-10,-59.3,-42.7,-9.96,23,deactivation
306,6,200,4.94,-20,-14,66,-18.2,-10.1,65.8,23,activation
307,6,268,4.91,-44,-72,38,-35.4,-67.7,45.6,23,deactivation
308,7,293,4.51,36,42,26,35.4,40.4,30.7,23,activation
309,7,4472,6.64,-18,-96,12,-1.82,-63.4,20.5,23,deactivation
310,8,318,5.08,-20,-54,64,-22.1,-51.9,64.7,23,activation
311,9,492,5.18,-32,20,8,-33.6,21.2,-0.00606,23,activation
312,1,90,4.3,28,-66,50,32.3,-63.4,45.7,24,activation
313,1,73,4.9,16,-34,44,12.3,-26.4,44.6,24,deactivation
314,10,601,5.83,-46,-72,14,-44.7,-72.9,8.79,24,deactivation
315,11,709,5.06,64,-24,36,60.4,-32.7,36.2,24,deactivation
316,12,892,5.6,52,-66,0,46,-69.8,9.3,24,deactivation
317,13,1265,5.18,36,30,4,45.4,18.9,6.49,24,deactivation
318,14,1500,5.09,24,-14,70,10.1,4.98,59.1,24,deactivation
319,2,90,4.68,-22,12,-6,-16.8,10.5,-7.26,24,activation
320,2,82,4.84,-38,-4,52,-40,-6.99,54.8,24,deactivation
321,3,119,4.09,32,-82,-26,25.9,-80.4,-25.1,24,activation
322,3,134,5.6,12,-96,14,17.4,-97.1,15.7,24,deactivation
323,4,135,4.53,8,14,-6,14.3,13.7,-5.99,24,activation
324,4,147,4.6,30,-80,32,25.2,-80.7,38,24,deactivation
325,5,154,4.41,-60,-46,-10,-59.3,-42.7,-9.96,24,activation
326,5,170,4.38,-60,-34,32,-60,-26.3,25.7,24,deactivation
327,6,266,4.97,-44,-72,38,-35.4,-67.7,45.6,24,activation
328,6,292,4.52,40,40,28,35.3,40.4,30.8,24,deactivation
329,7,4468,6.35,-12,-94,-4,-1.82,-63.4,20.5,24,activation
330,7,317,5.19,-20,-54,64,-22.1,-51.9,64.7,24,deactivation
331,8,492,5.18,-32,20,8,-33.6,21.2,-0.00602,24,deactivation
332,9,506,5.47,40,-38,58,27.2,-47,60.3,24,deactivation
333,1,77,6.12,-20,-40,-46,-18.3,-43.3,-47,25,activation
334,1,131,4.26,26,-2,-28,37.2,4.56,-27.6,25,deactivation
335,2,92,6.88,-34,-82,-20,-42.9,-74.1,-14.8,25,activation
336,2,303,4.98,34,-80,-44,24.8,-78,-35.6,25,deactivation
337,3,169,5.89,-24,10,6,-22.8,8.1,0.0209,25,activation
338,3,27648,9.66,30,-8,60,2.24,-3.4,23,25,deactivation
339,4,225,5.9,-18,-66,-14,-28.6,-59.4,-17.6,25,activation
340,5,328,5.08,20,-48,-46,17.9,-50.6,-47.1,25,activation
341,6,377,6.08,-26,-92,14,-41.4,-80.9,9.07,25,activation
342,7,6749,8.68,0,-76,-6,13.7,-65.8,16.8,25,activation
343,1,97,4.26,-38,-68,-38,-38.1,-66.8,-37.7,26,activation
344,1,114,4.77,-40,6,38,-43.3,10.3,30.9,26,deactivation
345,2,107,4.14,8,-62,-30,11.5,-63.6,-37.4,26,activation
346,2,194,5.3,56,-44,24,55.7,-45.4,22.4,26,deactivation
347,3,140,4.54,6,-36,74,-2.17,-34.3,70.9,26,activation
348,3,259,5.59,-22,6,4,-19.8,9.75,5.37,26,deactivation
349,4,413,6.3,-42,-26,64,-33.9,-25.4,58.9,26,activation
350,4,409,5.89,-8,-60,56,1.47,-45.5,52.8,26,deactivation
351,5,13443,6.18,20,-24,28,3.75,-22.4,17.7,26,activation
352,5,423,5.79,24,8,2,22.8,9.45,3.06,26,deactivation
353,6,980,5.21,-2,16,48,-6.59,13.8,50.3,26,deactivation
354,7,1079,8.08,48,-76,4,45,-76.2,10.9,26,deactivation
355,8,6444,6.82,-46,-60,-18,-7.52,-63.6,3.1,26,deactivation
356,1,114,4.82,-40,6,38,-43.3,10.3,30.9,27,activation
357,1,98,4.37,-38,-68,-38,-38,-66.8,-37.8,27,deactivation
358,2,191,5.22,56,-44,24,55.7,-45.5,22.4,27,activation
359,2,106,4.1,16,-62,-38,11.5,-63.7,-37.4,27,deactivation
360,3,261,5.8,-16,14,12,-19.7,9.75,5.45,27,activation
361,3,140,4.65,6,-36,74,-2.16,-34.3,70.9,27,deactivation
362,4,406,6.13,-8,-60,56,1.46,-45.4,52.8,27,activation
363,4,414,6.22,-42,-26,64,-33.8,-25.4,58.9,27,deactivation
364,5,426,5.51,22,6,6,22.9,9.42,3.05,27,activation
365,5,13456,6.53,-24,-92,12,3.74,-22.3,17.7,27,deactivation
366,6,976,5.15,-2,18,44,-6.52,13.8,50.3,27,activation
367,7,1075,8.3,48,-76,4,45,-76.2,10.9,27,activation
368,8,6431,6.97,-46,-60,-18,-7.54,-63.5,3.07,27,activation
369,1,69,4.59,24,16,0,23.2,13.9,4.2,28,activation
370,1,117,4.72,44,-26,60,36.4,-27,61.7,28,deactivation
371,10,16572,8.38,36,-82,36,-0.257,-54.8,20.4,28,activation
372,2,87,4.42,-24,14,0,-23.7,8.92,3.46,28,activation
373,2,184,4.55,-4,-44,-28,-3.11,-44.5,-39.5,28,deactivation
374,3,88,5.41,32,34,38,33.4,34.7,37.7,28,activation
375,3,1135,5.63,-22,-84,-38,-30.8,-74.4,-35.6,28,deactivation
