,Cluster Index,Voxels,MAX,MAX X (mm),MAX Y (mm),MAX Z (mm),COG X (mm),COG Y (mm),COG Z (mm),zstat,stat_type
828,5,3485,5.95,14,-90,-6,28.8,-70.5,1.91,56,deactivation
829,6,1400,5.79,34,22,8,39.6,19.5,4.76,56,activation
830,7,13906,6.74,6,20,42,3.71,-5.55,33.7,56,activation
831,1,99,6.85,-38,-24,64,-38.8,-26.3,59.6,57,activation
832,1,143,4.1,-46,-16,28,-37,-13.5,22.7,57,deactivation
833,2,252,4.88,-12,-68,-6,-15.5,-63.3,-6.05,57,activation
834,2,148,4.68,-56,-2,-2,-46.8,-15.1,3.97,57,deactivation
835,3,412,4.92,-10,-48,38,-0.926,-49.7,39.7,57,activation
836,3,173,4.31,-34,-54,-28,-38.1,-52.9,-31.2,57,deactivation
837,4,1426,6,-44,-74,-16,-49.2,-64.3,4.53,57,activation
838,4,240,4.33,16,-34,-32,3.74,-29.2,-37.6,57,deactivation
839,5,3470,5.81,18,-86,-6,28.9,-70.5,1.83,57,activation
840,5,648,6.22,12,-56,62,16.7,-54.9,59.4,57,deactivation
841,6,1404,5.79,34,22,8,39.6,19.6,4.76,57,deactivation
842,7,13976,7.05,6,20,42,3.68,-5.43,33.6,57,deactivation
843,1,179,4.99,50,12,-22,48.3,13.8,-19.8,58,activation
844,1,82,5.1,38,-86,16,39.1,-84.9,13.3,58,deactivation
845,2,40368,6.96,-2,6,68,6.39,-10,27.2,58,activation
846,2,124,6.2,16,10,-10,15.8,13,-7.37,58,deactivation
847,3,143,7.16,-48,46,22,-43.4,38.8,20.7,58,deactivation
848,4,144,5.04,32,-68,34,30.5,-67.1,40.2,58,deactivation
849,5,499,6.53,-2,-22,82,-0.00214,-58.9,54.6,58,deactivation
850,6,682,5.55,-48,-64,42,-36.1,-66.1,45,58,deactivation
851,7,6681,7.14,4,-72,-2,4.85,-65,-9.97,58,deactivation
852,1,92,4.33,-52,-28,20,-51.3,-30.7,23.6,59,activation
853,1,74,4.43,-42,44,22,-44.2,43.7,17.4,59,deactivation
854,2,107,4.42,-6,18,64,-0.299,25.3,59.3,59,activation
855,2,80,4.65,-42,-48,54,-42.9,-43.4,51,59,deactivation
856,3,141,4.75,-18,-66,20,-18.4,-62.3,14.8,59,activation
857,3,91,4.58,56,-44,-6,57.7,-50,-9.39,59,deactivation
858,4,157,4.77,26,12,2,28.3,7.3,-1.02,59,activation
859,4,93,4.56,-40,-68,46,-41.4,-64.9,47.6,59,deactivation
860,5,238,5.51,34,28,2,32.7,23.9,-5.56,59,activation
861,5,165,4.7,28,-68,50,37.9,-63,44.8,59,deactivation
862,6,275,4.94,48,0,52,47.2,-3.98,49.7,59,activation
863,6,181,5.43,-48,-62,-12,-55.7,-51.1,-12.2,59,deactivation
864,7,600,4.83,-24,10,2,-23.3,15.4,-0.465,59,activation
865,7,202,5.26,4,-82,-8,6.13,-80.7,-14.4,59,deactivation
866,8,714,5.13,-12,-24,44,5.14,-10.6,64.2,59,activation
867,8,681,5.61,20,-72,-14,38.5,-67.6,-33.4,59,deactivation
868,9,778,4.92,0,32,14,4.58,35.5,14.4,59,activation
869,1,74,4.36,-44,42,18,-44.2,43.7,17.4,60,activation
870,1,93,4.37,-52,-28,20,-51.3,-30.6,23.7,60,deactivation
871,2,78,4.37,-44,-48,54,-42.9,-43.3,51,60,activation
872,2,105,4.51,-6,18,64,-0.401,25.4,59.3,60,deactivation
873,3,90,4.66,56,-44,-6,57.6,-50,-9.39,60,activation
874,3,142,4.88,-18,-66,20,-18.4,-62.3,14.8,60,deactivation
875,4,95,4.55,-40,-68,46,-41.4,-64.8,47.7,60,activation
876,4,156,4.74,26,12,2,28.3,7.26,-1.01,60,deactivation
877,5,168,4.59,40,-64,46,37.9,-63,44.8,60,activation
878,5,236,5.4,34,28,2,32.7,23.9,-5.56,60,deactivation
879,6,180,4.96,-48,-62,-12,-55.7,-51,-12.1,60,activation
880,6,279,4.86,54,-8,46,47.2,-3.99,49.7,60,deactivation
881,7,201,5.14,6,-74,-6,6.02,-80.8,-14.5,60,activation
882,7,599,4.86,-34,20,-12,-23.3,15.4,-0.439,60,deactivation
883,8,681,5.56,20,-72,-14,38.5,-67.6,-33.5,60,activation
884,8,717,5.2,-12,-24,44,5.13,-10.6,64.2,60,deactivation
885,9,778,4.67,-2,32,6,4.56,35.5,14.3,60,deactivation
886,1,84,4.64,-8,2,8,-6.71,3.85,7.92,61,activation
887,1,66,4.07,-30,-30,22,-36.7,-24.3,15,61,deactivation
888,2,94,4.53,-38,-58,-22,-38.9,-52.6,-24.6,61,activation
889,2,97,4.4,-54,-10,40,-55.9,-7.85,35.7,61,deactivation
890,3,120,4.27,36,-66,-22,29.2,-65.7,-19.9,61,activation
891,3,160,4.07,-52,-6,2,-56.5,-15.3,1.89,61,deactivation
892,4,121,4.47,0,-54,2,0.0189,-35.9,6.14,61,activation
893,4,163,4.18,34,-20,18,37.8,-19.8,15,61,deactivation
894,5,466,4.75,4,-80,-14,1.82,-70.8,-19.7,61,activation
895,5,244,4.26,44,-18,42,54.3,-9.75,33.1,61,deactivation
896,6,470,4.59,20,-36,74,10.7,-30.6,67.9,61,deactivation
897,1,246,4.86,2,-56,-32,0.774,-61.2,-18.5,64,activation
898,1,89,4.69,24,-96,2,25.7,-94.1,4.67,70,activation
899,1,78,3.9,22,38,36,20.1,45.2,36.1,70,deactivation
900,2,92,4.27,22,-52,-50,15.4,-58.2,-49.4,70,activation
901,2,125,4.06,14,22,64,16.4,28.1,58.3,70,deactivation
902,3,223,4.51,-16,10,0,-13.3,11.6,1.24,70,activation
903,4,255,4.44,10,14,2,14.4,12.5,-0.65,70,activation
904,5,265,4.39,-40,-12,64,-36.6,-23.6,61.3,70,activation
905,6,1837,5.25,2,-62,-20,5.59,-59.8,-19.4,70,activation
906,1,53,3.9,-26,22,60,-20.4,26.4,58,73,activation
907,1,62,4.16,-6,8,46,-4.86,10.1,43.5,73,deactivation
908,2,80,3.88,40,-70,42,45.5,-64,39.4,73,activation
909,2,70,4.32,18,0,72,18.1,-5.73,70.2,73,deactivation
910,3,91,4.23,-40,-74,-30,-36.1,-74.9,-31.1,73,activation
911,3,139,5.43,30,-6,58,31.2,-6.32,55.3,73,deactivation
912,4,98,4.33,0,-66,42,4.46,-59.5,41.2,73,activation
913,4,170,4.13,28,-54,-10,26.6,-53.2,-13.9,73,deactivation
914,5,130,4.28,-40,-64,38,-42.5,-65.7,42.5,73,activation
915,5,255,4.31,6,6,62,3.43,1.34,57.1,73,deactivation
916,6,886,4.7,-26,-6,50,-40.2,-18.2,55.5,73,deactivation
917,1,73,4.05,0,-26,36,0.0881,-23.8,38,74,activation
918,1,57,4.06,28,-78,-8,29.3,-78.2,-8.15,74,deactivation
919,10,289,4.8,28,-64,-6,22.7,-53.7,-13.6,74,deactivation
920,11,812,4.7,-54,-26,48,-43.7,-23,54,74,deactivation
921,2,95,4.44,0,-70,44,0.317,-74.1,38.3,74,activation
922,2,73,4.3,58,6,42,55,-4.05,40,74,deactivation
923,3,99,4.27,-48,-62,40,-46.5,-63.2,43,74,activation
924,3,79,4.05,4,0,64,2.02,0.512,66,74,deactivation
925,4,101,3.96,0,-52,40,4.75,-51.9,37.9,74,activation
926,4,94,3.87,-60,-16,18,-56.9,-18.2,20,74,deactivation
927,5,121,4.32,-26,-10,54,-23.8,-9.39,56.7,74,deactivation
928,6,154,4.14,-58,0,32,-55.9,4.37,32.3,74,deactivation
929,7,178,4.91,62,4,28,60.5,4.28,21.7,74,deactivation
930,8,179,4.54,34,-4,56,31.4,-6.6,55.5,74,deactivation
931,9,232,4.26,36,-54,56,39.2,-40.2,48.2,74,deactivation
932,1,99,6.3,40,-12,-20,38.4,-7.96,-19.7,75,activation
933,1,120,7.29,30,38,-12,34.9,35.9,-11.5,75,deactivation
934,2,32391,12.2,-30,-54,58,2.09,-21.1,12.9,75,activation
935,2,170,5.72,0,-18,42,-1.93,-12.5,38.9,75,deactivation
936,3,182,6.19,54,32,16,54.5,32.8,9.16,75,deactivation
937,4,187,6.01,-62,-2,20,-50.7,-9.63,30.6,75,deactivation
938,5,262,7.28,8,-34,72,9.11,-32.5,68.3,75,deactivation
939,6,304,6.95,66,-2,22,52,-8.76,34.1,75,deactivation
940,7,354,6.88,-38,-8,6,-37.9,-14.8,9.41,75,deactivation
941,8,2718,7.94,-8,66,30,-4.57,48.3,26.2,75,deactivation
942,9,18799,11.4,50,-74,16,-5.45,-40.6,8.67,75,deactivation
