ParticipantID,ROI,Cope number,Phase,Action,Regressor,Value
sub103,PAG,9,post,Hide,Constant,-0.2071
sub103,PAG,10,post,Hide,TimeSinceLastCheck,-0.0813
sub103,PAG,11,post,Hide,Proximity,0.7367
sub103,PAG,12,post,Hide,Reward,0.884
sub103,PAG,14,pre,SuccessfulFirstCheck,ThreatLevel,-0.2204
sub103,PAG,15,pre,firstCheck,Reward,-0.0897
sub103,PAG,16,pre,firstCheck,TimePressure,0.3179
sub103,PAG,18,pre,firstForage,Reward,0.3586
sub103,PAG,19,pre,firstForage,TimePressure,0.2742
sub103,PAG,20,pre,firstCheck,Constant,-0.4211
sub103,PAG,21,pre,firstForage,Constant,-1.4773
sub103,PAG,70,pre_plus_post,firstForage,Reward,1.0872
sub103,PAG,73,post,firstCheck,ThreatLevel,-0.5435
sub103,PAG,74,pre_plus_post,firstCheck,ThreatLevel,-0.6014
sub103,PAG,63,pre,firstForage_minus_firstCheck,Reward,0.2691
sub103,SC,1,post,firstCheck,Constant,0.8012
sub103,SC,2,post,firstCheck,TimeSinceLastCheck,-0.6033
sub103,SC,3,post,firstCheck,Proximity,0.5993
sub103,SC,4,post,firstCheck,Reward,-0.5684
sub103,SC,5,post,firstForage,Constant,-0.3647
sub103,SC,6,post,firstForage,TimeSinceLastCheck,0.4801
sub103,SC,7,post,firstForage,Proximity,-0.0076
sub103,SC,8,post,firstForage,Reward,1.0725
sub103,SC,9,post,Hide,Constant,-1.2879
sub103,SC,10,post,Hide,TimeSinceLastCheck,-0.3774
sub103,SC,11,post,Hide,Proximity,0.8983
sub103,SC,12,post,Hide,Reward,0.8281
sub103,SC,14,pre,SuccessfulFirstCheck,ThreatLevel,0.3613
sub103,SC,15,pre,firstCheck,Reward,-0.3331
sub103,SC,16,pre,firstCheck,TimePressure,0.5326
sub103,SC,18,pre,firstForage,Reward,1.0901
sub103,SC,19,pre,firstForage,TimePressure,0.131
sub103,SC,20,pre,firstCheck,Constant,0.9149
sub103,SC,21,pre,firstForage,Constant,-0.0218
sub103,SC,70,pre_plus_post,firstForage,Reward,1.4364
sub103,SC,73,post,firstCheck,ThreatLevel,-0.3871
sub103,SC,74,pre_plus_post,firstCheck,ThreatLevel,-0.1992
sub103,SC,63,pre,firstForage_minus_firstCheck,Reward,0.856
sub103,Pulvinar,1,post,firstCheck,Constant,0.3707
sub103,Pulvinar,2,post,firstCheck,TimeSinceLastCheck,0.0129
sub103,Pulvinar,3,post,firstCheck,Proximity,0.2677
sub103,Pulvinar,4,post,firstCheck,Reward,0.3016
sub103,Pulvinar,5,post,firstForage,Constant,0.3797
sub103,Pulvinar,6,post,firstForage,TimeSinceLastCheck,-0.2426
sub103,Pulvinar,7,post,firstForage,Proximity,0.1123
sub103,Pulvinar,8,post,firstForage,Reward,0.0179
sub103,Pulvinar,9,post,Hide,Constant,-0.3036
sub103,Pulvinar,10,post,Hide,TimeSinceLastCheck,-0.0083
sub103,Pulvinar,11,post,Hide,Proximity,0.3393
sub103,Pulvinar,12,post,Hide,Reward,-0.1081
sub103,Pulvinar,14,pre,SuccessfulFirstCheck,ThreatLevel,0.1322
sub103,Pulvinar,15,pre,firstCheck,Reward,-0.282
sub103,Pulvinar,16,pre,firstCheck,TimePressure,0.0486
sub103,Pulvinar,18,pre,firstForage,Reward,-0.3305
sub103,Pulvinar,19,pre,firstForage,TimePressure,-0.2113
sub103,Pulvinar,20,pre,firstCheck,Constant,0.0723
sub103,Pulvinar,21,pre,firstForage,Constant,0.4485
sub103,Pulvinar,70,pre_plus_post,firstForage,Reward,-0.1502
sub103,Pulvinar,73,post,firstCheck,ThreatLevel,0.151
sub103,Pulvinar,74,pre_plus_post,firstCheck,ThreatLevel,0.1993
sub103,Pulvinar,63,pre,firstForage_minus_firstCheck,Reward,0.0095
sub103,Precentral gyrus,1,post,firstCheck,Constant,0.4061
sub103,Precentral gyrus,2,post,firstCheck,TimeSinceLastCheck,0.0343
sub103,Precentral gyrus,3,post,firstCheck,Proximity,0.7345
sub103,Precentral gyrus,4,post,firstCheck,Reward,0.8468
sub103,Precentral gyrus,5,post,firstForage,Constant,-0.0559
sub103,Precentral gyrus,6,post,firstForage,TimeSinceLastCheck,1.0565
sub103,Precentral gyrus,7,post,firstForage,Proximity,0.1552
sub103,Precentral gyrus,8,post,firstForage,Reward,-0.325
sub103,Precentral gyrus,9,post,Hide,Constant,-2.8802
sub103,Precentral gyrus,10,post,Hide,TimeSinceLastCheck,1.3384
sub103,Precentral gyrus,11,post,Hide,Proximity,1.3359
sub103,Precentral gyrus,12,post,Hide,Reward,-0.2939
sub103,Precentral gyrus,14,pre,SuccessfulFirstCheck,ThreatLevel,-0.2923
sub103,Precentral gyrus,15,pre,firstCheck,Reward,0.5993
sub103,Precentral gyrus,16,pre,firstCheck,TimePressure,-0.497
sub103,Precentral gyrus,18,pre,firstForage,Reward,0.8358
sub103,Precentral gyrus,19,pre,firstForage,TimePressure,-0.0685
sub103,Precentral gyrus,20,pre,firstCheck,Constant,0.8574
sub103,Precentral gyrus,21,pre,firstForage,Constant,0.9998
sub103,Precentral gyrus,70,pre_plus_post,firstForage,Reward,0.1486
sub103,Precentral gyrus,73,post,firstCheck,ThreatLevel,-0.5652
sub103,Precentral gyrus,74,pre_plus_post,firstCheck,ThreatLevel,-0.6558
sub103,Precentral gyrus,63,pre,firstForage_minus_firstCheck,Reward,0.0587
sub105,DRN,1,post,firstCheck,Constant,-0.0612
sub105,DRN,2,post,firstCheck,TimeSinceLastCheck,0.4987
sub105,DRN,3,post,firstCheck,Proximity,-0.2787
sub105,DRN,4,post,firstCheck,Reward,0.6206
sub105,DRN,5,post,firstForage,Constant,-0.3101
sub105,DRN,6,post,firstForage,TimeSinceLastCheck,0.1942
sub105,DRN,7,post,firstForage,Proximity,0.5623
sub105,DRN,8,post,firstForage,Reward,-0.1482
sub105,DRN,9,post,Hide,Constant,-0.7833
sub105,DRN,10,post,Hide,TimeSinceLastCheck,-0.7438
sub105,DRN,11,post,Hide,Proximity,0.1102
sub105,DRN,12,post,Hide,Reward,0.049
sub105,DRN,14,pre,SuccessfulFirstCheck,ThreatLevel,-0.0762
sub105,DRN,15,pre,firstCheck,Reward,0.4316
sub105,DRN,16,pre,firstCheck,TimePressure,-0.3555
sub105,DRN,18,pre,firstForage,Reward,0.1744
sub105,DRN,19,pre,firstForage,TimePressure,0.9261
sub105,DRN,20,pre,firstCheck,Constant,0.1688
sub105,DRN,21,pre,firstForage,Constant,0.1194
sub105,DRN,70,pre_plus_post,firstForage,Reward,-0.0304
sub105,DRN,73,post,firstCheck,ThreatLevel,0.1726
sub105,DRN,74,pre_plus_post,firstCheck,ThreatLevel,0.0965
sub105,DRN,63,pre,firstForage_minus_firstCheck,Reward,-0.238
sub105,HB,1,post,firstCheck,Constant,0.3025
sub105,HB,2,post,firstCheck,TimeSinceLastCheck,-0.6028
sub105,HB,3,post,firstCheck,Proximity,0.7176
sub105,HB,4,post,firstCheck,Reward,-0.3745
sub105,HB,5,post,firstForage,Constant,0.0398
sub105,HB,6,post,firstForage,TimeSinceLastCheck,0.2338
sub105,HB,7,post,firstForage,Proximity,0.1869
sub105,HB,8,post,firstForage,Reward,0.0139
sub105,HB,9,post,Hide,Constant,-0.0549
sub105,HB,10,post,Hide,TimeSinceLastCheck,0.444
sub105,HB,11,post,Hide,Proximity,0.71
sub105,HB,12,post,Hide,Reward,0.1501
sub105,HB,14,pre,SuccessfulFirstCheck,ThreatLevel,0.4291
sub105,HB,15,pre,firstCheck,Reward,-0.35
sub105,HB,16,pre,firstCheck,TimePressure,0.9228
sub105,HB,18,pre,firstForage,Reward,0.2657
sub105,HB,19,pre,firstForage,TimePressure,0.3943
sub105,HB,20,pre,firstCheck,Constant,0.5242
sub105,HB,21,pre,firstForage,Constant,0.61
sub105,HB,70,pre_plus_post,firstForage,Reward,0.1503
sub105,HB,73,post,firstCheck,ThreatLevel,-0.8968
sub105,HB,74,pre_plus_post,firstCheck,ThreatLevel,-0.4796
sub105,HB,63,pre,firstForage_minus_firstCheck,Reward,0.4033
sub105,VTA,1,post,firstCheck,Constant,-0.3918
sub105,VTA,2,post,firstCheck,TimeSinceLastCheck,-0.2505
sub105,VTA,3,post,firstCheck,Proximity,0.7445
sub105,VTA,4,post,firstCheck,Reward,-0.0859
sub105,VTA,5,post,firstForage,Constant,-0.3971
sub105,VTA,6,post,firstForage,TimeSinceLastCheck,-0.7648
sub105,VTA,7,post,firstForage,Proximity,0.8283
sub105,VTA,8,post,firstForage,Reward,-0.311
sub105,VTA,9,post,Hide,Constant,-0.2354
sub105,VTA,10,post,Hide,TimeSinceLastCheck,0.7339
sub105,VTA,11,post,Hide,Proximity,0.1301
sub105,VTA,12,post,Hide,Reward,0.7433
sub105,VTA,14,pre,SuccessfulFirstCheck,ThreatLevel,0.5952
sub105,VTA,15,pre,firstCheck,Reward,-0.6774
sub105,VTA,16,pre,firstCheck,TimePressure,0.6776
sub105,VTA,18,pre,firstForage,Reward,0.0712
sub105,VTA,19,pre,firstForage,TimePressure,0.7196
sub105,VTA,20,pre,firstCheck,Constant,1.0412
sub105,VTA,21,pre,firstForage,Constant,-0.0807
sub105,VTA,70,pre_plus_post,firstForage,Reward,-0.2165
sub105,VTA,73,post,firstCheck,ThreatLevel,-0.641
sub105,VTA,74,pre_plus_post,firstCheck,ThreatLevel,-0.1641
sub105,VTA,63,pre,firstForage_minus_firstCheck,Reward,0.5515
sub105,SN,1,post,firstCheck,Constant,0.4165
sub105,SN,2,post,firstCheck,TimeSinceLastCheck,-0.0453
sub105,SN,3,post,firstCheck,Proximity,0.5329
sub105,SN,4,post,firstCheck,Reward,-0.2318
sub105,SN,5,post,firstForage,Constant,-0.1888
sub105,SN,6,post,firstForage,TimeSinceLastCheck,-0.4412
sub105,SN,7,post,firstForage,Proximity,0.6247
sub105,SN,8,post,firstForage,Reward,-0.014
sub105,SN,9,post,Hide,Constant,-0.6558
sub105,SN,10,post,Hide,TimeSinceLastCheck,0.4825
sub105,SN,11,post,Hide,Proximity,0.1394
sub105,SN,12,post,Hide,Reward,0.4578
sub105,SN,14,pre,SuccessfulFirstCheck,ThreatLevel,0.4348
sub105,SN,15,pre,firstCheck,Reward,-0.0985
sub105,SN,16,pre,firstCheck,TimePressure,0.4809
sub105,SN,18,pre,firstForage,Reward,0.176
sub105,SN,19,pre,firstForage,TimePressure,1.2377
