,Unnamed: 0,Phase,ActionType,TransitionType,RT,ParticipantID,envIndex,predatorTotal_currEnv,timeInCurrEnv,tpEpoch,noOfCones,predatorSpeed,timePressure,rewAvail_currTP,firstActionPostDisc,NForageBeforeCheck,NCheckBeforeForage
115,0,Pre,check,Check-to-check,162,sub103,20,3,42402,,2,10,0.48184,32,,,1
116,0,Pre,check,Check-to-check,17,sub103,20,4,56906,,2,10,0.15192,39,,,1
117,0,Pre,check,Check-to-check,321,sub103,20,5,78575,,2,10,0.20536,34,,,1
118,0,Pre,check,Check-to-check,230,sub103,20,5,85062,,2,10,0.58464,24,,,1
119,0,Pre,check,Check-to-check,267,sub103,21,1,2350,,4,15,0.133885714,22,,,1
120,0,Pre,check,Check-to-check,275,sub103,21,1,1583,,4,15,0.090057143,41,,,2
121,0,Pre,check,Check-to-check,300,sub103,21,1,808,,4,15,0.045771429,30,,,3
122,0,Pre,check,Check-to-check,271,sub103,21,2,27470,,4,15,0.197085714,48,,,1
123,0,Pre,check,Check-to-check,217,sub103,21,2,26699,,4,15,0.153028571,32,,,2
124,0,Pre,check,Check-to-check,-35,sub103,21,2,25982,,4,15,0.112057143,19,,,3
125,0,Pre,check,Check-to-check,123,sub103,21,3,58806,,4,15,0.501828571,35,,,1
126,0,Pre,check,Check-to-check,124,sub103,21,3,58183,,4,15,0.466228571,35,,,2
127,0,Pre,check,Check-to-check,10,sub103,21,3,57559,,4,15,0.430571429,14,,,3
128,0,Pre,check,Check-to-check,217,sub103,22,1,723,,1,10,0.05736,30,,,1
129,0,Pre,check,Check-to-check,18,sub103,22,3,37119,,1,10,0.04144,25,,,1
130,0,Pre,check,Check-to-check,-134,sub103,22,4,56183,,1,10,0.02928,30,,,1
131,0,Pre,check,Check-to-check,-34,sub103,22,4,55817,,1,10,0.03728,8,,,2
132,0,Pre,check,Check-to-check,-94,sub103,22,4,64809,,1,10,0.03248,16,,,1
133,0,Pre,check,Check-to-check,63,sub103,22,4,64403,,1,10,0.04504,16,,,2
134,0,Pre,check,Check-to-check,171,sub103,24,1,1537,,2,10,0.12256,15,,,1
135,0,Pre,check,Check-to-check,166,sub103,24,2,19207,,2,10,0.176,18,,,1
136,0,Pre,check,Check-to-check,11,sub103,24,2,23599,,2,10,0.40464,22,,,1
137,0,Pre,check,Check-to-check,24,sub103,24,4,55032,,2,10,0.3208,38,,,1
138,0,Pre,check,Check-to-check,117,sub103,24,4,54508,,2,10,0.27888,38,,,2
139,0,Pre,check,Check-to-check,168,sub103,24,4,61433,,2,10,0.60336,18,,,1
140,0,Pre,check,Check-to-check,166,sub103,24,5,75242,,2,10,0.17808,22,,,1
141,0,Pre,check,Check-to-check,273,sub103,25,1,2064,,2,15,0.117657143,27,,,1
143,0,Pre,check,Check-to-check,244,sub103,25,2,23305,,2,15,0.131714286,5,,,1
144,0,Pre,check,Check-to-check,170,sub103,25,3,45701,,2,15,0.1548,23,,,1
145,0,Pre,check,Check-to-check,72,sub103,25,3,45031,,2,15,0.116514286,21,,,2
146,0,Pre,check,Check-to-check,225,sub103,26,1,2707,,4,15,0.154,29,,,1
147,0,Pre,check,Check-to-check,183,sub103,26,1,1982,,4,15,0.112571429,27,,,2
148,0,Pre,check,Check-to-check,123,sub103,26,1,1299,,4,15,0.073542857,27,,,3
149,0,Pre,check,Check-to-check,177,sub103,26,2,32774,,4,15,0.499885714,41,,,1
150,0,Pre,check,Check-to-check,168,sub103,26,2,32097,,4,15,0.4612,41,,,2
151,0,Pre,check,Check-to-check,229,sub103,26,2,31429,,4,15,0.423028571,20,,,3
152,0,Pre,check,Check-to-check,123,sub103,26,4,78247,,4,15,0.412628571,35,,,1
153,0,Pre,check,Check-to-check,161,sub103,26,4,77624,,4,15,0.377028571,23,,,2
154,0,Pre,check,Check-to-check,183,sub103,26,4,76963,,4,15,0.339257143,30,,,3
155,0,Pre,check,Check-to-check,168,sub105,2,1,9000,,2,20,0.399555556,68,,,1
156,0,Pre,check,Check-to-check,76,sub105,2,3,60692,,2,20,0.252711111,9,,,1
157,0,Pre,check,Check-to-check,-90,sub105,3,1,1293,,2,10,0.06184,22,,,1
158,0,Pre,check,Check-to-check,-137,sub105,3,1,883,,2,10,0.07008,20,,,2
159,0,Pre,check,Check-to-check,10,sub105,3,1,6283,,2,10,0.078,19,,,1
160,0,Pre,check,Check-to-check,-35,sub105,3,1,5773,,2,10,0.3584,27,,,2
161,0,Pre,check,Check-to-check,-142,sub105,3,1,5308,,2,10,0.3212,27,,,3
162,0,Pre,check,Check-to-check,62,sub105,3,2,25811,,2,10,0.46432,41,,,1
163,0,Pre,check,Check-to-check,-40,sub105,3,4,59792,,2,10,0.10656,21,,,1
164,0,Pre,check,Check-to-check,-40,sub105,3,4,59332,,2,10,0.506,21,,,2
165,0,Pre,check,Check-to-check,-88,sub105,3,4,58872,,2,10,0.4692,38,,,3
166,0,Pre,check,Check-to-check,-194,sub105,4,1,7067,,3,20,0.082711111,19,,,1
167,0,Pre,check,Check-to-check,-195,sub105,4,1,6761,,3,20,0.069111111,19,,,2
168,0,Pre,check,Check-to-check,-83,sub105,4,1,6456,,3,20,0.286622222,19,,,3
169,0,Pre,check,Check-to-check,-343,sub105,5,4,68674,,4,15,0.129028571,41,,,1
170,0,Pre,check,Check-to-check,-299,sub105,5,4,68517,,4,15,0.120057143,41,,,2
171,0,Pre,check,Check-to-check,-192,sub105,5,4,68316,,4,15,0.473542857,41,,,3
172,0,Pre,check,Check-to-check,-299,sub105,6,1,3025,,3,15,0.172457143,12,,,1
173,0,Pre,check,Check-to-check,-238,sub105,6,1,2824,,3,15,0.160971429,24,,,2
174,0,Pre,check,Check-to-check,-245,sub105,6,1,2562,,3,15,0.146,24,,,3
175,0,Pre,check,Check-to-check,-193,sub105,6,4,75963,,3,15,0.085942857,14,,,1
176,0,Pre,check,Check-to-check,-242,sub105,6,4,75656,,3,15,0.0684,14,,,2
177,0,Pre,check,Check-to-check,-241,sub105,6,4,75398,,3,15,0.421485714,14,,,3
178,0,Pre,check,Check-to-check,-296,sub105,7,1,2470,,4,10,0.14416,10,,,1
179,0,Pre,check,Check-to-check,-344,sub105,7,1,2266,,4,10,0.12784,10,,,2
180,0,Pre,check,Check-to-check,-193,sub105,7,1,2110,,4,10,0.16816,10,,,3
181,0,Pre,check,Check-to-check,-142,sub105,7,4,51677,,4,10,0.15808,24,,,1
182,0,Pre,check,Check-to-check,-346,sub105,7,4,51319,,4,10,0.12944,24,,,2
183,0,Pre,check,Check-to-check,-244,sub105,7,4,51165,,4,10,0.41096,24,,,3
184,0,Pre,check,Check-to-check,-193,sub105,7,6,84411,,4,10,0.19832,43,,,1
185,0,Pre,check,Check-to-check,-241,sub105,7,6,84104,,4,10,0.40528,43,,,2
186,0,Pre,check,Check-to-check,-349,sub105,7,6,83845,,4,10,0.38456,42,,,3
187,0,Pre,check,Check-to-check,-348,sub105,10,1,7683,,2,15,0.049771429,53,,,1
188,0,Pre,check,Check-to-check,-242,sub105,10,1,7531,,2,15,0.041085714,53,,,2
189,0,Pre,check,Check-to-check,-249,sub105,10,1,7273,,2,15,0.415257143,53,,,3
190,0,Pre,check,Check-to-check,71,sub105,12,1,6755,,1,10,0.04568,40,,,1
191,0,Pre,check,Check-to-check,-292,sub105,12,1,6184,,1,10,0.01664,40,,,2
192,0,Pre,check,Check-to-check,-196,sub105,12,2,28308,,1,10,0.02432,28,,,1
193,0,Pre,check,Check-to-check,-34,sub105,13,3,56815,,2,20,0.039066667,11,,,1
194,0,Pre,check,Check-to-check,-87,sub105,13,3,56349,,2,20,0.237377778,11,,,2
195,0,Pre,check,Check-to-check,-243,sub105,14,1,4829,,3,10,0.11936,18,,,1
196,0,Pre,check,Check-to-check,-240,sub105,14,1,4572,,3,10,0.0988,18,,,2
197,0,Pre,check,Check-to-check,-246,sub105,14,1,4312,,3,10,0.34448,18,,,3
198,0,Pre,check,Check-to-check,-240,sub105,14,1,10149,,3,10,0.44616,7,,,1
199,0,Pre,check,Check-to-check,-140,sub105,14,1,9889,,3,10,0.42536,19,,,2
200,0,Pre,check,Check-to-check,-342,sub105,14,1,9529,,3,10,0.39656,19,,,3
201,0,Pre,check,Check-to-check,-239,sub105,14,3,43670,,3,10,0.096,28,,,1
202,0,Pre,check,Check-to-check,-137,sub105,14,3,43409,,3,10,0.50992,28,,,2
203,0,Pre,check,Check-to-check,-131,sub105,14,3,43046,,3,10,0.48088,30,,,3
204,0,Pre,check,Check-to-check,-142,sub105,15,1,4536,,2,10,0.08664,6,,,1
205,0,Pre,check,Check-to-check,-185,sub105,15,1,4178,,2,10,0.33376,6,,,2
206,0,Pre,check,Check-to-check,-90,sub105,15,1,3863,,2,10,0.30856,14,,,3
207,0,Pre,check,Check-to-check,-240,sub105,15,1,9528,,2,10,0.39936,12,,,1
208,0,Pre,check,Check-to-check,-395,sub105,15,1,9268,,2,10,0.37856,12,,,2
209,0,Pre,check,Check-to-check,-242,sub105,15,1,9163,,2,10,0.37016,12,,,3
210,0,Pre,check,Check-to-check,-244,sub105,15,4,65250,,2,10,0.04496,26,,,1
211,0,Pre,check,Check-to-check,-194,sub105,15,4,64994,,2,10,0.5592,41,,,2
212,0,Pre,check,Check-to-check,-190,sub105,15,5,85137,,2,10,0.07408,55,,,1
213,0,Pre,check,Check-to-check,-187,sub105,15,5,84827,,2,10,0.46584,61,,,2
214,0,Pre,check,Check-to-check,-197,sub105,15,5,84514,,2,10,0.4408,61,,,3
215,0,Pre,check,Check-to-check,-400,sub105,18,1,7098,,3,10,0.10656,18,,,1
216,0,Pre,check,Check-to-check,-241,sub105,18,1,6998,,3,10,0.09856,14,,,2
217,0,Pre,check,Check-to-check,-296,sub105,18,1,6739,,3,10,0.53864,14,,,3
218,0,Pre,check,Check-to-check,-138,sub105,18,3,40814,,3,10,0.112,13,,,1
219,0,Pre,check,Check-to-check,-184,sub105,18,3,40452,,3,10,0.59376,13,,,2
220,0,Pre,check,Check-to-check,-135,sub105,18,3,40136,,3,10,0.56848,13,,,3
221,0,Pre,check,Check-to-check,-289,sub105,20,1,6310,,4,10,0.27728,25,,,1
222,0,Pre,check,Check-to-check,-294,sub105,20,1,6099,,4,10,0.2604,25,,,2
223,0,Pre,check,Check-to-check,-292,sub105,20,1,5893,,4,10,0.4708,24,,,3
224,0,Pre,check,Check-to-check,-292,sub105,20,2,23710,,4,10,0.16472,13,,,1
225,0,Pre,check,Check-to-check,-294,sub105,20,2,23502,,4,10,0.14808,13,,,2
226,0,Pre,check,Check-to-check,-196,sub105,20,2,23296,,4,10,0.50256,13,,,3
227,0,Pre,check,Check-to-check,-291,sub105,20,3,42876,,4,10,0.1732,25,,,1
228,0,Pre,check,Check-to-check,-294,sub105,20,3,42667,,4,10,0.15648,25,,,2
229,0,Pre,check,Check-to-check,-349,sub105,20,3,42461,,4,10,0.51632,25,,,3
230,0,Pre,check,Check-to-check,-289,sub105,24,1,10361,,4,20,0.108666667,30,,,1
231,0,Pre,check,Check-to-check,-293,sub105,24,1,10150,,4,20,0.099288889,30,,,2
232,0,Pre,check,Check-to-check,-183,sub105,24,1,9943,,4,20,0.441555556,18,,,3
233,0,Pre,check,Check-to-check,-296,sub105,26,1,7044,,1,15,0.011657143,7,,,1
234,0,Pre,check,Check-to-check,-187,sub105,26,1,6840,,1,15,0.017885714,17,,,2
235,0,Pre,check,Check-to-check,17,sub109,0,1,6848,,4,20,0.303911111,57,,,1
236,0,Pre,check,Check-to-check,16,sub109,0,1,6331,,4,20,0.280933333,57,,,2
237,0,Pre,check,Check-to-check,221,sub109,0,1,5815,,4,20,0.258,70,,,3
238,0,Pre,check,Check-to-check,3,sub109,0,3,61964,,4,20,0.105288889,20,,,1
239,0,Pre,check,Check-to-check,-84,sub109,0,3,61461,,4,20,0.418888889,20,,,2
240,0,Pre,check,Check-to-check,29,sub109,0,3,61045,,4,20,0.4004,4,,,3
241,0,Pre,check,Check-to-check,15,sub109,1,1,1845,,2,10,0.14712,69,,,1
242,0,Pre,check,Check-to-check,16,sub109,1,1,6273,,2,10,0.39544,70,,,1
243,0,Pre,check,Check-to-check,172,sub109,1,2,24012,,2,10,0.40072,78,,,1
244,0,Pre,check,Check-to-check,16,sub109,2,1,5459,,2,20,0.242311111,46,,,1
245,0,Pre,check,Check-to-check,12,sub109,2,3,62459,,2,20,0.330444444,15,,,1
246,0,Pre,check,Check-to-check,121,sub109,2,3,61947,,2,20,0.307688889,19,,,2
247,0,Pre,check,Check-to-check,114,sub109,3,1,4022,,2,10,0.32112,5,,,1
248,0,Pre,check,Check-to-check,126,sub109,3,1,3408,,2,10,0.272,16,,,2
249,0,Pre,check,Check-to-check,117,sub109,3,2,25599,,2,10,0.44736,41,,,1
250,0,Pre,check,Check-to-check,121,sub109,3,5,75290,,2,10,0.1772,51,,,1
251,0,Pre,check,Check-to-check,-46,sub109,3,5,74669,,2,10,0.2104,44,,,2
252,0,Pre,check,Check-to-check,-34,sub109,3,5,74215,,2,10,0.17408,44,,,3
253,0,Pre,check,Check-to-check,52,sub109,4,1,3791,,3,20,0.077333333,23,,,1
254,0,Pre,check,Check-to-check,-83,sub109,4,1,3239,,3,20,0.143644444,23,,,2
255,0,Pre,check,Check-to-check,271,sub109,4,1,2822,,3,20,0.125111111,46,,,3
256,0,Pre,check,Check-to-check,-139,sub109,5,1,3853,,4,15,0.126457143,16,,,1
257,0,Pre,check,Check-to-check,-92,sub109,5,1,3492,,4,15,0.199085714,16,,,2
258,0,Pre,check,Check-to-check,-34,sub109,5,1,3084,,4,15,0.175771429,16,,,3
259,0,Pre,check,Check-to-check,16,sub109,6,1,8273,,3,15,0.081885714,23,,,1
260,0,Pre,check,Check-to-check,-142,sub109,6,1,7757,,3,15,0.442914286,18,,,2
261,0,Pre,check,Check-to-check,59,sub109,6,1,7399,,3,15,0.422457143,18,,,3
262,0,Pre,check,Check-to-check,116,sub109,8,2,29189,,3,15,0.093771429,89,,,1
263,0,Pre,check,Check-to-check,-141,sub109,8,2,28573,,3,15,0.519542857,89,,,2
264,0,Pre,check,Check-to-check,166,sub109,8,2,28214,,3,15,0.499028571,89,,,3
265,0,Pre,check,Check-to-check,16,sub109,8,4,77054,,3,15,0.086057143,37,,,1
266,0,Pre,check,Check-to-check,-30,sub109,8,4,76538,,3,15,0.459885714,37,,,2
267,0,Pre,check,Check-to-check,20,sub109,8,4,76068,,3,15,0.433028571,30,,,3
268,0,Pre,check,Check-to-check,63,sub109,10,1,6613,,2,15,0.3776,44,,,1
269,0,Pre,check,Check-to-check,172,sub109,13,3,58274,,2,20,0.323244444,18,,,1
270,0,Pre,check,Check-to-check,65,sub109,13,3,57602,,2,20,0.293377778,17,,,2
271,0,Pre,check,Check-to-check,-35,sub109,14,1,5754,,3,10,0.11488,22,,,1
272,0,Pre,check,Check-to-check,-84,sub109,14,1,5289,,3,10,0.42248,22,,,2
273,0,Pre,check,Check-to-check,55,sub109,14,1,4873,,3,10,0.3892,18,,,3
274,0,Pre,check,Check-to-check,-90,sub109,14,3,45578,,3,10,0.18872,26,,,1
275,0,Pre,check,Check-to-check,-92,sub109,14,3,45168,,3,10,0.65136,26,,,2
276,0,Pre,check,Check-to-check,8,sub109,14,3,44760,,3,10,0.61872,34,,,3
277,0,Pre,check,Check-to-check,65,sub109,15,1,6386,,2,10,0.5104,14,,,1
278,0,Pre,check,Check-to-check,69,sub109,15,4,67623,,2,10,0.76824,29,,,1
279,0,Pre,check,Check-to-check,66,sub109,15,5,86397,,2,10,0.5892,45,,,1
280,0,Pre,check,Check-to-check,65,sub109,15,5,85831,,2,10,0.54392,55,,,2
281,0,Pre,check,Check-to-check,11,sub109,16,2,24048,,1,15,0.0292,16,,,1
282,0,Pre,check,Check-to-check,82,sub109,19,3,51084,,2,15,0.460514286,42,,,1
283,0,Pre,check,Check-to-check,-91,sub111,0,2,29661,,4,20,0.072533333,10,,,1
284,0,Pre,check,Check-to-check,17,sub111,0,2,29252,,4,20,0.054355556,10,,,2
285,0,Pre,check,Check-to-check,-142,sub111,0,2,32125,,4,20,0.182044444,46,,,1
286,0,Pre,check,Check-to-check,58,sub111,0,2,35109,,4,20,0.283288889,89,,,1
287,0,Pre,check,Check-to-check,-188,sub111,0,2,34551,,4,20,0.289866667,83,,,2
288,0,Pre,check,Check-to-check,-81,sub111,0,2,34239,,4,20,0.276,83,,,3
289,0,Pre,check,Check-to-check,-90,sub111,0,3,60987,,4,20,0.118711111,4,,,1
290,0,Pre,check,Check-to-check,-38,sub111,0,3,60577,,4,20,0.379866667,4,,,2
291,0,Pre,check,Check-to-check,169,sub111,0,3,60115,,4,20,0.359333333,4,,,3
